篇名,作者,页数,关键词,摘要,filename
流式大数据实时处理技术、平台及应用,陈纯:09318568,8,流式大数据; 流处理; 增量计算; 时序处理;,"大数据处理系统根据其时效性可分为批式大数据和流式大数据两类。上述两类系统均无法满足""事中""感知查询分析处理模式的需求。为此,从分析大数据应用场景入手,提出了""流立方""流式大数据实时处理技术和平台,在完整大数据集上实现了低迟滞、高实时的即席查询分析。目前基于""流立方""平台开发的业务系统已应用到金融风控反欺诈、机器防御等领域,具有广阔的应用前景。 ",DSJU201704001
导读,,1, ,"<正>大数据的发展和应用已经对政府、企业决策和人们的生活方式产生深远的影响。目前,各种大数据技术和系统层出不穷,大数据应用方兴未艾。然而,大数据系统之间缺乏有效的互操作手段,大数据的开放共享受制于安全与隐私方面的顾虑,大数据推广应用缺乏工程化的指南,这在很大程度上阻碍了大数据的发展。甚至大数据的定义、相关术语、分类、架构等方面也缺乏统一描述,各种大数据产品的技术 ",DSJU201704002
大数据标准体系,张群:33020795|吴东亚:33018056|赵菁华:33019071,9,大数据; 标准化; 参考架构; 标准体系;,"随着大数据的发展,标准化的内容越来越广,标准化的对象也越来越复杂。系统地分析了国内外大数据标准化工作现状,结合《促进大数据发展行动纲要》、中华人民共和国国民经济和社会发展第十三个五年规划纲要等国家战略以及大数据产业发展对标准化工作的需求,分析我国大数据标准化工作面临的问题,描述了大数据参考架构,提出大数据标准体系框架,给出了未来的工作建议。 ",DSJU201704003
ISO/IEC JTC1/WG9大数据国际标准研究及对中国大数据标准化的影响,光亮1:37498067|张群2:33020795,9,大数据标准; 国际标准; 大数据参考架构;,"ISO/IEC JTC1/WG9是制定大数据基础性国际标准的官方组织,WG9在研的大数据术语和参考架构等国际标准和相关技术报告对中国的大数据标准有重要的指导和借鉴意义。简要介绍了WG9工作组的构成、在研的国际标准和技术报告项目,阐述了WG9标准在大数据国际标准体系中的地基性位置。对比了WG9国际标准和中国大数据标准体系的关系,论述了WG9国际标准对中国大数据标准工作的意义和价值。给出了参与WG9标准工作组的建议。 ",DSJU201704004
数据管理能力成熟度模型,李冰1:35995988,8,大数据; 数据管理; 能力成熟度;,"为促进大数据产业持续深入发展,提高政府、企事业单位大数据资产管理意识,借鉴国内外成熟度相关理论思想,结合数据生命周期管理各个阶段的特征,对数据管理能力进行了分析、总结,提炼出组织数据管理的八大过程域,并对每项能力进行了二级过程域和发展等级的划分以及相关功能介绍和评定标准的制定。 ",DSJU201704005
大数据平台的基础能力和性能测试,"姜春宇1,2:35803143|魏凯1,2:35802747",9,大数据; 大数据技术标准化; 大数据产品评测; 数据; 负载;,"目前整个大数据技术还处于以开源方式为主导、多种技术并存的阶段。开源技术催生了大量的商业发行版大数据平台软件,大数据企业级市场竞争加剧,如何测试和评估这些大数据平台软件成为新的研究主题。简要地介绍了大数据技术发展的背景以及大数据技术标准的需求,综述了国际大数据平台标准化和评测的现状,详细介绍了数据中心联盟在大数据平台技术标准化和测评方面的实践,最后总结了当前工作的问题,并展望了下一步大数据技术和评测的发展方向。 ",DSJU201704006
面向特定领域大数据平台架构及标准化研究,林旺群:30803209|高晨旭:34115374|陶克:37498068|邓波:11584695|包阳:17355924,14,特定领域大数据; 参考架构; 标准体系;,"分析了与国家民生和安全密切相关的特定领域的大数据发展现状,介绍了大数据标准研究的相关工作。研究了特定领域大数据的特点和现实需求,给出了适合这些领域大数据建设的参考架构,结合大数据主流技术和基础平台,详细分析了特定领域大数据参考架构的不同部件。考虑大数据未来技术发展,梳理了面向特定领域大数据标准体系发展脉络,提出了相应的大数据参考标准体系,为面向特定领域大数据相关体系架构和标准化建设提供技术参考。 ",DSJU201704007
物流大数据标准及案例研究,蒋凡:36439127,7,城市物流; O2O; 大数据; 标准化;,"介绍了在城市物流配送领域的数据化和智能化改造过程中,如何面对大数据标准化的挑战,并从调度系统和开放平台两方面入手,提出了提高单次配送效率和节省多次配送成本的标准化解决方案。案例为物流大数据标准化技术提供了可供参考的分析思路、实施案例和创新经验。 ",DSJU201704008
工业大数据技术与架构,"郑树泉1,2:23842024|覃海焕3,2:33068410|王倩1,2:29349376",14,工业大数据; 架构; 智能制造; 工业云; 工业互联网;,"工业大数据是工业企业的重要资产,是企业实现转型升级的核心要素。分析了工业大数据的主要来源及其特点,给出了一种工业大数据参考架构,从生命周期与价值流、企业纵向层和IT价值链3个维度,讨论了企业实现基于工业大数据的价值创新和企业转型的典型应用与业务价值创新、企业各层所需部署的信息(物理)系统以及指导工业大数据应用落地的业务架构、信息系统架构和信息技术架构,最后分析了一种工业大数据典型应用案例的架构与技术,验证了所提架构的有效性。 ",DSJU201704009
海洋大数据关键技术及在灾害天气下船舶行为预测上的应用,王冬海:44249044|卢峰:44249143|方晓蓉:44249144|郭刚:44249145,10,海洋大数据; 机器学习; 船舶行为预测;,"随着海洋数据量的爆炸式增长,海洋大数据受到越来越多的关注。主要分析和总结了当前海洋大数据的研究现状和关键技术,聚焦了机器学习在海洋大数据中的模型预测研究的实例,对海上船舶在灾害天气(台风)下的行为进行了回归训练和预测。通过构建和对比决策树、Bagging、随机森林等多种机器学习算法,对样本数据进行学习、预测和检验评估。最终结果表明,随机森林方法在灾害天气下船舶密度的预测应用中具有良好和稳健的效果。 ",DSJU201704010
大数据价值期望探讨,王崇骏:08042907,13,大数据; 数据科学; 价值期望;,"各边利益主体对大数据价值的共同期盼,引发了社会各界对大数据的普遍关注。不同利益主体的自有利益使然,各边的价值期望是不同的,但这些迥异的价值期望恰恰都是大数据价值实现的目标。尝试从大数据的多边定义和理解出发,梳理不同研究视角的相关研究以及不同利益角色的价值期望,介绍了相关研究及产业化现状,并给出了实践可行的方法、思路和策略。 ",DSJU201704011
预测的局限性,,5, ,"<正>1引言从几千年前的巫祝开始,人类从来没有放弃过预测未来的追求。只不过那个时候的预测,往往是基于极其朴素的世界运行的原理,例如以水为万物生长和运动之源的泰利斯假说和以对立、协同、转换为核心的阴阳学说;又或者一些重大事件之间的偶发联系,例如某一次日食后出现了持续数月的大旱。从现代的观点来看,那不过是人类卑微理性在无常自然面前无畏的挣扎罢了。 ",DSJU201704012
导读,,1, ,"<正>一直以来,我国政府、学术界、产业界对政府面向社会治理和社会服务大数据的创新应用给予了高度重视。当前,我国绝大多数城市都在进行""智慧城市""的规划和建设,其核心也是要解决政务大数据的开放共享问题,以政务大数据的开放共享平台建设为抓手,围绕数据提供方、资金提供方以及应用开发方等,打造围绕政府数据开放的产业生态,从而提供更加丰富的社会服务。我们也期待有更多的创新性成果服务于我国政府数据的开放共享,进一步 ",DSJU201703001
“云治理”设想,曾琛:37090783,12,政府服务; 区块链; 智能合约; 全知系统; 公民账户;,"""云治理""是指在信息技术、海量数据和互联网思维时代背景下的社会治理。提供了一个全知系统的框架,以满足""云治理""背景下政府为民众提供更好社会服务的需求,并着重介绍了作为系统核心的区块链网式数据库的设计。这种数据库不仅能减少人为因素造成的数据失真,还能运行智能合约,减少政府运营日常事务的人力成本。 ",DSJU201703002
基于大数据的税收经济分析和预测探索,谢波峰:10375342,10,税收经济分析; 税收预测; 大数据;,"在现有的税收经济预测理论和实践当中,大数据的出现为理论的完善和实践的发展提供了契机。总结了目前税收经济领域的主要研究进展,归纳概括了大数据在税收经济分析和预测中的特点和主要特征,并针对我国税收经济分析和预测的大数据应用提出了若干设想和展望。 ",DSJU201703003
大数据与公共安全治理,徐晔1:40549886|张明1:40549888|黄玲玲2:40467252,8,大数据; 公共安全; 治理;,"大数据时代下日益复杂多变的公共安全形势为维护国家公共安全提出了更高的要求。深入研究利用大数据技术推动公共安全治理,对维护我国公共安全环境具有十分重要的意义。分析了当前我国公共安全形势和维护公共安全面临的挑战以及大数据时代公共安全治理的现实状况,阐述了我国公共安全治理面临的困境,提出需依托大数据技术在治理能力、技术手段、思维方式、新领域4个方面推动公共安全治理创新。 ",DSJU201703004
大数据服务三农的初步分析与探索,孙忠富:10539712|褚金翔:10607082|马浚诚:36786333|杜克明:10656400|郑飞翔:29527303,11,农业大数据; 智慧农业; 物联网; 云计算;,"三农问题是当前中国密切关注的社会问题,大数据技术的发展为三农带来了新的机遇。首先,对大数据推动智慧农业发展的作用进行了深入分析,总结了农业大数据的基本特征、内涵及发展趋势,分析了大数据对解决三农问题的推动作用。其次,综合阐述了农业大数据发展瓶颈和主要问题,包括数据获取能力不够、系统性不强、数据挖掘与分析技术落后、数据质量控制与安全管理难度大等。最后,提出了大数据服务三农的途径,主要包括强化政府引导与推动、强化大数据技术创新等。 ",DSJU201703005
面向共享的政府大数据质量标准化问题研究,洪学海1:11039177|王志强2:09504526|杨青海2:22168332,9,政府大数据; 主数据; 产品数据; 数据质量; ISO 8000;,"回顾了国内外数据质量研究与实践的进展,重点对ISO 8000数据质量国际标准提出的数据质量框架、主数据质量、事务数据质量和产品数据质量进行了探讨,对面向共享的政府大数据质量标准化的方法和测度理论进行了研究,最后对我国政府进行大数据质量控制及其标准化建设提出了建议。 ",DSJU201703006
交通大数据:一种基于微服务的敏捷处理架构设计,杜圣东:24891473|杨燕:09183035|滕飞:22384183,15,敏捷大数据; 微服务; 大数据架构; 容器; 大数据融合;,"面对智慧交通广泛的大数据应用场景和技术需求,一般大数据系统难以适应多种处理情况并做出快速响应。针对这一问题,首次提出了敏捷大数据方法论,对其概念、处理流程、核心原则与关键技术等进行了研究和探索。基于数据科学迭代性本质,设计了面向微服务的敏捷大数据架构,对交通大数据微服务化、交通大数据融合等关键环节进行了详细设计和论述。敏捷大数据架构的提出为交通大数据环境下的高效、灵活数据挖掘和机器学习提供了新思路、新方法。 ",DSJU201703007
收益管理中基于大数据仓库的需求无约束估计:框架与挑战,郭鹏:33052586,16,收益管理; 需求预测; 无约束估计; 数据仓库; 大数据; 商务智能; 情感分析;,"现有需求无约束估计方法均为基于公司内部数据仓库中所获需求信息而开发,在当前基于大数据分析的激烈竞争市场环境中,无法满足收益管理系统日益增长的实时需求预测和优化决策分析需要。为了实时、动态地同时获取并分析内部和外部数据资源中有关每位顾客的无约束需求数据,包括结构化和非结构化的信息,提出了以面向收益管理需求无约束估计为主题的大数据仓库框架,并据此讨论了无约束需求知识挖掘以及需求无约束估计商务智能分析工具开发应用过程中面临的各项挑战。 ",DSJU201703008
从点状应用到大数据统一平台,钱岭:45107008|孙少陵:45107009|石在辉:45107010,10,大数据统一平台; BI+; Hadoop; 集中化经营分析系统;,"企业在大数据引入过程中,由于平台技术不成熟、缺乏统一技术架构、组织架构不适应等问题,形成了应用竖井和复杂的系统混搭结构,造成了资源利用率不均、数据重复存储、运维成本高、难以形成企业级数据共享等问题。目前大数据平台技术已经逐步成熟,大数据统一平台逐步成为企业分析系统的核心。深入分析了企业级统一大数据平台的整合思路,从管理、业务和技术3个层面入手,分别从组织架构体系建设、大数据平台运营流程重构与实施、大数据平台技术规划与实现等角度提出对策建议。最后,给出中国移动在统一大数据平台整合方面的实践经验。 ",DSJU201703009
电信大数据在信用风险管理中的应用,刘新海1:30824767|韩涵2:35803309|丁伟3:34641754|王题3:30375714,9,电信大数据; 信用风险管理; 信用评分; 可替代数据; 数据共享;,"电信大数据是非常好的可替代数据源,用于消费者的信用评估。同时信用风险管理也是电信运营商日常的一个重要工作。介绍了消费者信用评分在电信信用风险管理中的应用,对电信大数据作为重要的替代数据在金融授信中的应用进行了案例分析,对国内电信大数据如何在信用风险管理中发挥作用,提出了专业的建议和展望。 ",DSJU201703010
开放政府环境下医药公司与医生之间的价值转移,那旭:31918589|郭海红:25783275|李姣:29166526,9,数据共享; 医药公司; 医生; 价值转移;,"医药公司与医生之间价值转移引起的潜在利益冲突能够显著影响临床护理、研究结果和医生临床决策。为了提升医生和医药学行业之间价值转移的透明度,从数据资源、开放共享情况、价值转移类型界定和数据开放政策保障4个方面介绍美国开放资助项目和英国信息披露数据共享的基本情况以及国际上应用价值转移资助数据共享开展的应用研究情况,讨论了数据共享的特色与存在的问题,提出了对我国医药公司开放资助数据行动的启示。 ",DSJU201703011
Talent Network:一个基于设计思维的企业社交网络服务,夏帆1:31833642|丁铖1:37115233|钱卫宁1:22305996|周傲英2:21917016|Gopakumar Gopalakrishnan3:37115234|Anjaneyulu Passala3:37115235,5, ,"<正>1引言随着互联网技术的发展,越来越多的企业采用开放架构和开源软件,利用云服务或自建团队进行信息化建设。在这样的大背景下,传统的以服务外包为主要业务的信息技术服务面临着技术提升、管理变革、服务转型等一系列的新挑战。从业务角度看,原先的以""one size ",DSJU201703012
专题:大数据管理与分析,,2, ,"<正>导读大数据为什么这么""火""?不是因为数据量的""大"",也不是因为大数据处理技术的""新"",最根本的原因是大数据蕴含的巨大价值。大数据作为一种新的科研方法,已经在数学、物理、工程乃至社会及经济等领域展示了其独特的魅力。大数据分析作为一种工具,广泛用于辅助各行各业的决策。 ",DSJU201702001
感悟大数据——从数据管理和分析说起,周傲英:21917016,16,大数据; 数据库理念; 互联网+; 分享型数据库;,"大数据依然很热,对其解读也越发众说纷纭。结合笔者长期以来的研发经历和深层思考,讨论了对""大数据""本身、""大数据""国家战略、""互联网+""行动计划的理解。在大数据语境下重提数据库理念,说明这对于理解数据管理的发展趋势、把握技术发展的机遇有着重要的意义。此外,从一个资深的IT学者和实践者的角度,讨论近10年来IT发展范型的变化,介绍了近5年来笔者领导研发的3个数据管理系统,提出了分享型数据的概念,作为区块链背后的基本思想的抽象。 ",DSJU201702002
大数据的价值发现方法,"杜小勇1,2:09746797|陈跃国1,2:24543793",7,大数据; 价值发现; 数据服务; 数据分析; 数据探索;,"大数据的价值有不同的体现形式和发现价值的途径。总结了从大数据中发现价值的3种基本途径:数据服务、数据分析与数据探索,并对它们的特点进行了分析和对比。数据服务通过提供高性能和高并发的数据访问从微观层面体现数据价值;数据分析侧重利用统计模型的方法在宏观层面上对大数据进行处理,通过产生数据洞察的形式体现数据价值;数据探索侧重通过交互模型在微观和宏观的不断变换,引导用户浏览和发现数据的价值。 ",DSJU201702003
开发商业智能应用 小心大数据“陷阱”,黄锦辉:09209372,5,大数据; 自然语言处理; 社交媒体; 数据处理;,"大数据的应用和研究是信息爆炸时代的热点话题。就如何更智能地发现大数据中的有用信息展开讨论,探讨了大数据中的""陷阱""和其引发的社会危害,提出一种面向社交文本的智能应用系统,以有效规避大数据中的""陷阱""并自动提取有用信息;基于提到的框架,展示了笔者研究组近些年在社交媒体上的事件检测、自动摘要和谣言检测方面的研究成果。 ",DSJU201702004
让大数据分析更可信,王腾蛟:06260341|李喜莲:36680887,7,大数据; 数据仓库; 海量数据; 大数据工程;,"大数据在学术界和产业界的各个领域正扮演着愈加重要的角色,但同时,大数据是否可信,引发了无数研究者的广泛关注和激烈讨论。从大数据名称的历史演变、大数据应用的案例分析以及大数据工程的角度探索大数据的可信程度,并由此总结出保证大数据分析正确性需要解决的3个挑战:正确选择数据源、科学抽样有代表性和有价值的数据、严谨完备的大数据工程分析方法。 ",DSJU201702005
社交网络分析在公共安全领域的应用,,7,社交网络分析; 公共安全; 犯罪团伙;,"社交网络分析技术是一种通用有效的研究社会人员之间复杂关系模式的方法。以公安领域为背景,首先介绍了社交网络分析理论,然后详细阐述该技术在公安领域的3个应用案例,包括犯罪团伙挖掘、核心成员识别和串并案挖掘,以期为读者了解社交网络分析技术在公共安全领域的应用提供帮助。 ",DSJU201702006
深度学习在化学信息学中的应用,徐优俊:36680888|裴剑锋:06268464,22,深度学习; 人工智能; 定量构效关系; 化学信息学;,"深度学习在计算机视觉、语音识别和自然语言处理三大领域中取得了巨大的成功,带动了人工智能的快速发展。将深度学习的关键技术应用于化学信息学,能够加快实现化学信息处理的人工智能化。化合物结构与性质的定量关系研究是化学信息学的主要任务之一,着重介绍各类深度学习框架(深层神经网络、卷积神经网络、循环或递归神经网络)应用于化合物定量构效关系模型的研究进展,并针对深度学习在化学信息学中的应用进行了展望。 ",DSJU201702007
应用驱动的大数据融合平台建设,孟祥飞:27173539|冯景华:27173541|赵洋:27837069|夏梓峻:36680889,11,大数据融合平台; 应用驱动; 超级计算; 云计算;,"论述了大数据在信息社会发展中的核心地位和对信息技术创新的全方位驱动;重点阐述了应用驱动的大数据和超级计算、云计算融合平台层次结构,在物理设施、系统软件、管理体系几个方面系统介绍了该融合平台的体系架构和实现;同时,也以生物基因、气象与空气污染为典型应用具体介绍了平台应用实现;最后结合大数据发展和融合平台建设,形成了一些如何推动大数据产业发展的思考,为政府和产业领域等提供参考。 ",DSJU201702008
基于校园一卡通数据好友发现及应用,鲁鸣鸣:31158970|张丹:10475286|王建新:10157613,14,社群发现; 相遇模型; 线下社交关系;,"教育大数据是近年来的研究热点。利用分布式文件系统对校园一卡通数据进行存储、预处理和分布式计算。在此基础上,提出学生生活轨迹中的相遇模型,从而挖掘学生线下社交关系。为了区分熟悉的陌生人和真正的好友,从单个学生和整个班级两个角度分析学生线下相遇行为,既可以挖掘好友关系(包括比较孤立的学生),又可以为校园班级社群管理提供数据支撑。实验结果表明,挖掘出的社交关系比较符合实际情况。 ",DSJU201702009
税务大数据分析的技术和典型应用, ,12,税务; 大数据; 技术架构; 数据分析; 融合创新;,"基于某省税务局大数据分析项目的实践,结合税务机关的信息化建设现状和业务特点,说明了如何搭建适合于税务业务应用的大数据分析平台,并结合具体的应用案例,说明运用大数据开展业务应用的过程、建模方法和数据处理方法。通过对比大数据与传统信息化建设方式的差异,说明大数据将为税务机关的信息化建设带来全新的突破,提供更为有力的业务创新手段。 ",DSJU201702010
大数据的若干基础研究方向,"朱扬勇1,2:06710346|熊贇1,2:24529592",11,大数据; 数据科学; 大数据基础; 数据资源;,"大数据问题的关键技术挑战在于:找到隐含在低价值密度数据中的价值;在希望的时间内完成。指出前者需要将领域知识和数据技术结合,这种结合的理论和新型算法构成大数据的分析基础和应用基础;后者需要设计新的计算机、集群体系、计算框架、存储体系和数据管理方法,这些构成大数据的计算基础和数据基础。另外,这两个挑战都涉及数学理论,这是大数据的数学基础。系统地分析了大数据的数学基础、计算基础、数据基础、分析基础和应用基础等基础研究方向。 ",DSJU201702011
大数据时代的人才推荐系统,"洪文兴1,2:15624905|王宁3:28882547|陈毅伟4:36684808|周绮凤1:09225559|李涛5,6,7:08770190",6, ,"<正>1人才推荐系统的应用背景随着Web 2.0技术的发展,越来越多的求职者在互联网上寻找就业机会,企业选择在招聘网站发布职位网罗人才。目前流行的招聘网站按照其应用的技术大致可以划分为5类(如图1所示):传统信息门户类、职业社交类、推荐类、垂直行业类以及 ",DSJU201702012
大数据精细化销售管理、数据分析与预测,,1, ,"<正>出版社:人民邮电出版社定价:49.80元作者:刘星出版时间:2016.11名企高管15年智慧结晶,教你如何运用大数据轻松实现销售目标本书卖点>>>>1实操性的大数据应用宝典的出版,顺应了形势和企业的需求。2企业在营销过程中要学会利用大数据使程序化营销方式变现。3本书特别讲授销售计划的制定、跟踪、调整及管理,通过对大数据的收集、分析、为企业真正实现精细销售管理。 ",DSJU201702013
5G无线网络及关键技术,,1, ,"<正>本书全面讨论了5G移动通信无线网络架构和相关关键技术,内容涵盖5G网络发展与业务需求、5G网络架构、5G智能无线网络架构、无线网控制承载分离技术、多制式协作与融合技术、5G网络资源管理、移动边缘计算、无线网络虚拟化技术、频谱共享技术等不同层面。本书可供具有一定移动通信技术基础的专业技术人员或管理人员 ",DSJU201702014
中国科学院科学数据云建设与服务,黎建辉:10348230|周园春:09596132|胡良霖:10348228|刘峰:09596109|朱艳华:28697525|沈志宏:11119612|吴章生:33533592|张杨:36060544,11,科学数据; 数据平台; 数据共享服务; 服务成效;,"科技数据资源整合与共享工程是中国科学院""十二五""五大信息化工程之一。总结了该项目的整体建设思想、建设情况、技术创新和服务创新等内容。截至项目结束,数据工程建成了存储容量达52 PB的分布式海量存储环境;整合可共享科学数据总量近655 TB,累计访问人次9 629万次,累计下载量456 TB;同时为用户提供强大的科学数据与文献互联以及丰富的可视化展示平台。工程实现了以基础设施云服务、科研数据云服务、数据应用云服务为主体的多层次、交叉式信息化服务体系,逐渐建设形成共享开放、服务创新的国家级科技数据中心。 ",DSJU201606002
大规模分布式科学数据管理与服务技术架构及系统,刘峰:09596109|陈昕:30322382|黎建辉:10348230|刘昂:34804191|韩芳:34804190,11,科学数据; 科学数据管理; 资源服务系统; 分布式服务; 服务框架; 技术架构;,"随着信息化进程的发展,大规模分布式多源异构科学数据的管理和应用问题凸显,如何有效地实现分布式数据的管理、整合、服务,成为推动科研与应用的共性需求和必要手段。深入分析核心需求和关键问题,对服务体系进行了系统化的顶层设计,提出一套面向大规模分布式科学数据管理与服务的技术架构,从自治管理、整合管理、集成服务3个层级对服务体系进行了组织和规划,并建设了完备的服务平台和软件体系,为科学数据的管理与服务提供了从管理到应用的一体化解决方案。 ",DSJU201606003
科研数据的开放:进展、模式与新探索,张丽丽:36060545|黎建辉:10348230,9,科研数据; 数据开放; 数据共享; 数据出版;,"明确了科研数据的概念和分类,从原则、政策、技术、配套措施等方面总结了科研数据开放的当前进展,并将科研数据开放主要概括为自上而下的开放模式、横纵联合的开放模式与自下而上的开放模式3类。进一步分析指出,科研数据开放需要在强有力的行政力量支持下,配套更多的激励措施,调动数据拥有者的参与意愿。作为推动研究数据共享的一种有效形式,研究数据出版提供了可行方案,以《中国科学数据》为例,阐释了数据期刊在推动科研数据出版中的积极实践及其战略意义。 ",DSJU201606004
支持植物学大数据整合与公众服务的iFlora云平台建设,王亚楠:31259745|庄会富:23539488|王雨华:13616913,9,iFlora; 植物学; 大数据; 数据整合; 公众服务;,"提出了""i Flora—大数据云平台""的建设计划,从可行性和必要性角度出发,介绍了该数据平台的数据需求和初步的工作基础,提出了较详细的建设思路,综述了其应用前景。该平台以""中国植物物种""为核心,从物种名称、文献、图片、DNA、标本、地理分布、种质资源、栽培和价值等角度整合国内外多维度的数据资源,全面整合植物生物多样性宏观、微观各个层面的科学数据。在系统架构上,采用资源层、接口层和服务层的框架完成数据资源的汇集、整合和管理。在服务模式上,开发和开放系统接口,多种方式服务于科学研究、政府决策以及公众科普认知。 ",DSJU201606005
面向国际的生命组学大数据管理体系建设,赵文明:27003564|张思思:36064763|唐碧霞:36034224|陈婷婷:34516808|郝丽丽:32004267|桑健:36064764|李茹姣:36064765|肖景发:23297588|章张:36064766,10,组学数据; 大数据; 数据共享; 生物信息学; 基因组;,"组学数据是生命科学研究中的一类极其重要的大数据,特别是二代测序技术的发展推动了组学大数据的爆炸式增长。通过借鉴国际数据中心建设的成功经验,分析国内组学产出数据及数据库建设、数据管理现状及应用需求,构建了面向国际的生命组学大数据管理体系,涵盖组学原始序列归档库、基因组序列数据库、基因表达数据库、基因组变异数据库、DNA甲基化数据库系统等,初步形成中国组学数据资源的存储、共享与应用体系。 ",DSJU201606006
众包模式在大规模遥感影像信息提取领域的探索,"赵江华1,2:32655752|王学志1:27743357|林青慧1:29700113|黎建辉1:10348230|周园春1:09596132",12,遥感影像; 信息提取; 众包; 地理空间数据云;,"基于地理空间数据云平台,对基于众包的大规模遥感影像信息提取模式进行了研究,提出了一套完整的流程体系,并通过多时期的青藏高原湖泊提取任务对模式的报酬发放机制、任务分配方式、任务划分方法、人才激励等领域进行了探索和完善。实验结果表明提前支付部分报酬并采用小组的方式,对提高数据质量和控制并没有很大影响,而积累人才对获取高质量的数据结果很重要。由于该模式集成了众包和机器计算能力,且对遥感影像处理是通用的,因此可用于更多的需要人工参与的海量遥感影像处理工作中。 ",DSJU201606007
21世纪天文学面临的大数据和研究范式转型,张彦霞:11412411|崔辰州:10937875|赵永恒:10716153,10,天文大数据; 天文信息学; 天文统计学; 巡天;,"随着大型空间和地面观测技术的发展,天文数据的数据量、数据产出率和数据复杂性急剧增加,天文学步入了全新的数据密集型时代。阐述了天文数据的特征,分析了传统天文研究方法的局限性,提出了发展天文统计学和天文信息学的必要性和研究方向,介绍了天文大数据的典型应用——大型综合巡天望远镜的工作原理及应用,归纳了与天文统计学和天文信息学相关的国际组织,分析了与其相关的公共教育的现状及存在的问题,为天文大数据的健康发展提供参考方向。 ",DSJU201606008
SKA数据中心云平台方案的概念性研究,王玲玲:09582090|劳保强:32684233|陆扬:34615726|伍筱聪:32107795|郭绍光:28117766,8,平方公里阵列; 云计算; 数据中心; 私有云;,"针对平方公里阵列(SKA)望远镜数据中心海量数据存储和管理的要求,结合当前云计算和大数据技术的发展趋势,对SKA数据中心的云平台方案进行了研究。调研了有关业界的发展状况,对建设数据中心""私有云""进行了前期的一系列尝试,将具体的天文处理软件部署到云平台并进行初步测试。 ",DSJU201606009
大数据时代空间科学领域的科研信息化实践与成果,邹自明:30334034|佟继周:30480271|熊森林:36060547|胡晓彦:31694505|纪珍:36060548,14,空间科学; 大数据; 科研信息化; 空间科学虚拟观测台; 日地空间系统研究网络;,"随着人类对空间探索的拓展以及对空间认知的加深,空间科学探测大工程任务相继推进、实施,催生了空间科学领域大数据时代的到来。描述了国外空间科学科研信息环境建设的情况,重点介绍了中国空间科学数据中心在科研信息化项目中建设的大数据应用环境——空间科学虚拟观测台(VSSO)和云环境中的空间科学综合应用平台——日地空间系统研究网络(STAR-Network)所具备的服务功能以及其取得的服务成效。 ",DSJU201606010
基于大数据的移动互联网主动运维理论和实践进展,杨慰民:11600370,13,移动互联网; 大数据; 用户感知; 性能分析; 主动运维; 五元五阶; 样本空间置换;,"对于非话音的移动互联网业务,即使网络指标是完好的,仍然存在用户感知不佳的现象。基于大数据技术研究用户感知和网络性能指标的关系,提出基于样本空间置换的五元五阶模型实施主动运维,先于用户投诉发现并解决感知不佳问题。相比传统的运维模式,主动运维模式以网络性能管理为基础,能快速发现网络中各节点之间的性能失衡、趋势异常等隐性问题。运维人员根据分析结果主动出击,在故障发生前精确优化,降低成本,提升网络质量及客户满意度。 ",DSJU201606011
情境大数据建模及其在用户行为预测中的应用,吴书:30875421|刘强:33466902|王亮:11533817,8,情境大数据; 情境建模; 用户建模; 行为预测;,"随着大数据时代的到来,信息系统收集了海量情境信息,如舆情信息、环境信息、经济信息等。这些情景大数据提供丰富的细节信息,更细致地刻画行为背景以辅助用户行为建模。阐述了两种使用表达学习策略建模一般化情境信息的框架,并针对情境大数据中最常见的时序情境建模问题,使用循环神经网络建模时序情境中的序列依赖关系。 ",DSJU201606012
数据产品在线定制平台的探索实践,张峰1:17703645|孙宗哲2:36008276|OCHORA Dennis Reagan2:36060549|刘建楠3:35610555|宋杰2:10741674,11,云计算; 大数据; 数据分析算法接口; 数据即服务; 数据产品定价;,"大数据时代,研究机构与企事业单位拥有海量的科学或产业数据(包括海洋、气象、地质、石油化工等行业的数据),可为客户提供分析后的数据产品。目前,这些机构尚未形成服务化的数据产品提供方式。分析了现有数据产品平台的缺陷与挑战,提出了数据产品在线定制平台的需求,设计了平台的体系结构,并对研究平台的服务化数据分析算法接口、数据安全性和隔离性保障、数据产品定价模型进行了详细探索实践,最后给出了在线定制平台的应用示例描述。 ",DSJU201606013
俄罗斯跨境数据流动立法规则与执法实践,何波:35803127,6,跨境数据流动; 本地化存储; 数据立法; 监督检查;,"伴随着全球数字经济的迅猛发展,跨境数据流动监管越来越成为各方关切的焦点,俄罗斯出于安全考虑成为对跨境数据流动严格限制的代表国家。从俄罗斯数据管理法律框架出发,重点梳理了其跨境数据流动管理规则的立法变迁,分析了强力推行数据本地存储的原因,并考察了该规则的实施效果和监管机构的执法检查情况。最后,提出了对中国跨境数据流动管理的启示和建议。 ",DSJU201606014
